                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.86455,                0.70789,                0.82968,                0.91997,                  0.854,                0.89845,                0.74488,                0.78696,                 1.0334,                 0.8533,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0399,                0.89572,                0.92637,                0.95034,                0.87636,                0.88525,                0.70299,                0.82998,                0.91073,                0.86063,               0.005248,               0.005248,               0.005248
                     98,                0.97547,                0.77122,                0.88683,                0.95034,                0.87636,                0.88525,                0.70299,                0.82998,                0.91073,                0.86063,              0.0051985,              0.0051985,              0.0051985
                     99,                0.86554,                0.59737,                0.82421,                 0.9448,                 0.8979,                0.89499,                0.68809,                0.91911,                0.87694,                0.85748,               0.005149,               0.005149,               0.005149
                    100,                 0.9803,                0.75882,                0.83134,                 0.9448,                 0.8979,                0.89499,                0.68809,                0.91911,                0.87694,                0.85748,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1438,                0.90575,                0.87784,                0.94131,                0.87679,                0.89108,                0.71387,                0.82107,                0.81132,                0.85424,                0.00505,                0.00505,                0.00505
                    102,                0.97772,                0.82409,                0.86682,                0.94131,                0.87679,                0.89108,                0.71387,                0.82107,                0.81132,                0.85424,              0.0050005,              0.0050005,              0.0050005
                    103,                0.96865,                0.87964,                0.86448,                0.93376,                0.80673,                0.88327,                 0.7146,                0.80049,                0.86852,                0.84793,               0.004951,               0.004951,               0.004951
                    104,                0.86001,                0.69823,                0.87851,                0.93376,                0.80673,                0.88327,                 0.7146,                0.80049,                0.86852,                0.84793,              0.0049015,              0.0049015,              0.0049015
                    105,                0.81735,                0.61024,                0.82863,                0.94446,                0.88148,                0.90493,                0.69909,                0.85882,                0.84283,                 0.8463,               0.004852,               0.004852,               0.004852
                    106,                0.97799,                0.71852,                0.80526,                0.94446,                0.88148,                0.90493,                0.69909,                0.85882,                0.84283,                 0.8463,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.0704,                 0.8117,                0.86185,                0.91133,                0.84963,                0.88861,                0.67127,                0.81711,                0.72286,                0.85491,               0.004753,               0.004753,               0.004753
                    108,                0.96754,                0.89643,                 0.8896,                0.91133,                0.84963,                0.88861,                0.67127,                0.81711,                0.72286,                0.85491,              0.0047035,              0.0047035,              0.0047035
                    109,                0.87528,                0.76741,                 0.8609,                0.91153,                0.88148,                 0.8977,                0.71574,                 0.8207,                0.74499,                0.84997,               0.004654,               0.004654,               0.004654
                    110,                0.96914,                0.73569,                0.85153,                0.91153,                0.88148,                 0.8977,                0.71574,                 0.8207,                0.74499,                0.84997,              0.0046045,              0.0046045,              0.0046045
                    111,                0.90942,                0.59115,                0.87923,                 0.9138,                0.88148,                0.90163,                0.72167,                0.84362,                0.74179,                 0.8578,               0.004555,               0.004555,               0.004555
                    112,                0.87797,                 0.7653,                0.87506,                 0.9138,                0.88148,                0.90163,                0.72167,                0.84362,                0.74179,                 0.8578,              0.0045055,              0.0045055,              0.0045055
                    113,                0.90318,                0.67959,                 0.8483,                0.91217,                0.88148,                0.88894,                0.67306,                  0.863,                0.70143,                0.84943,               0.004456,               0.004456,               0.004456
                    114,                0.96485,                0.67252,                 0.8748,                0.91217,                0.88148,                0.88894,                0.67306,                  0.863,                0.70143,                0.84943,              0.0044065,              0.0044065,              0.0044065
                    115,                0.95002,                 0.6503,                0.86911,                0.90517,                0.88455,                0.86931,                0.69433,                0.82999,                0.81057,                0.85536,               0.004357,               0.004357,               0.004357
                    116,                0.88115,                0.77192,                0.87361,                0.90517,                0.88455,                0.86931,                0.69433,                0.82999,                0.81057,                0.85536,              0.0043075,              0.0043075,              0.0043075
                    117,                0.92509,                 1.1308,                0.90922,                0.90063,                0.88484,                0.88034,                 0.7205,                0.79844,                0.86375,                0.84702,               0.004258,               0.004258,               0.004258
                    118,                0.95736,                0.76182,                 0.8667,                0.90063,                0.88484,                0.88034,                 0.7205,                0.79844,                0.86375,                0.84702,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.7918,                0.75373,                0.86097,                0.83405,                0.87648,                0.88791,                0.68109,                0.85234,                0.85009,                0.83968,               0.004159,               0.004159,               0.004159
                    120,                0.87012,                0.68399,                0.83352,                0.83405,                0.87648,                0.88791,                0.68109,                0.85234,                0.85009,                0.83968,              0.0041095,              0.0041095,              0.0041095
                    121,                0.88142,                0.71687,                 0.8229,                0.91548,                0.84462,                0.90102,                0.74839,                0.73205,                0.79255,                0.83263,                0.00406,                0.00406,                0.00406
                    122,                0.77246,                0.67712,                0.86141,                0.91548,                0.84462,                0.90102,                0.74839,                0.73205,                0.79255,                0.83263,              0.0040105,              0.0040105,              0.0040105
                    123,                0.81901,                0.63056,                0.82119,                0.91181,                0.88725,                0.90501,                  0.749,                0.82587,                0.80919,                 0.8424,               0.003961,               0.003961,               0.003961
                    124,                0.90347,                0.73539,                0.90059,                0.91181,                0.88725,                0.90501,                  0.749,                0.82587,                0.80919,                 0.8424,              0.0039115,              0.0039115,              0.0039115
                    125,                0.95922,                0.66586,                0.83924,                0.91195,                0.88571,                0.90597,                 0.7601,                0.70027,                0.73296,                0.83672,               0.003862,               0.003862,               0.003862
                    126,                0.88658,                0.67763,                0.86599,                0.91195,                0.88571,                0.90597,                 0.7601,                0.70027,                0.73296,                0.83672,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0168,                 0.8481,                0.87813,                 0.9276,                0.88329,                0.91322,                0.75421,                0.76441,                0.73162,                0.83741,               0.003763,               0.003763,               0.003763
                    128,                0.84053,                 0.7309,                0.83854,                 0.9276,                0.88329,                0.91322,                0.75421,                0.76441,                0.73162,                0.83741,              0.0037135,              0.0037135,              0.0037135
                    129,                0.78532,                0.56504,                 0.8078,                0.94302,                0.90599,                0.91317,                0.76399,                0.74125,                0.71172,                0.83863,               0.003664,               0.003664,               0.003664
                    130,                0.84835,                0.66837,                0.84495,                0.94302,                0.90599,                0.91317,                0.76399,                0.74125,                0.71172,                0.83863,              0.0036145,              0.0036145,              0.0036145
                    131,                0.82132,                0.64477,                0.82153,                0.94305,                0.91498,                0.91325,                0.74443,                0.80436,                0.74711,                0.84131,               0.003565,               0.003565,               0.003565
                    132,                0.84636,                0.66982,                0.85915,                0.94305,                0.91498,                0.91325,                0.74443,                0.80436,                0.74711,                0.84131,              0.0035155,              0.0035155,              0.0035155
                    133,                0.82079,                0.68525,                0.84136,                0.93504,                0.87304,                0.91158,                0.73652,                0.76566,                0.74002,                0.84462,               0.003466,               0.003466,               0.003466
                    134,                 0.8396,                0.59166,                0.82523,                0.93504,                0.87304,                0.91158,                0.73652,                0.76566,                0.74002,                0.84462,              0.0034165,              0.0034165,              0.0034165
                    135,                0.87668,                0.75557,                0.88201,                0.90283,                0.89788,                0.90053,                0.70766,                0.82641,                0.78269,                0.84289,               0.003367,               0.003367,               0.003367
                    136,                0.79842,                0.67443,                0.87559,                0.90283,                0.89788,                0.90053,                0.70766,                0.82641,                0.78269,                0.84289,              0.0033175,              0.0033175,              0.0033175
                    137,                0.79749,                0.66342,                0.84566,                0.94838,                0.88879,                0.90074,                0.74379,                0.69442,                0.72508,                0.83966,               0.003268,               0.003268,               0.003268
                    138,                0.75005,                0.62532,                0.84977,                0.94838,                0.88879,                0.90074,                0.74379,                0.69442,                0.72508,                0.83966,              0.0032185,              0.0032185,              0.0032185
                    139,                0.68002,                0.51519,                0.82496,                0.94579,                0.90597,                0.90418,                0.72732,                0.76879,                0.71596,                0.83953,               0.003169,               0.003169,               0.003169
                    140,                0.80918,                0.66305,                0.87884,                0.94579,                0.90597,                0.90418,                0.72732,                0.76879,                0.71596,                0.83953,              0.0031195,              0.0031195,              0.0031195
                    141,                0.79149,                0.62136,                0.83147,                0.96387,                0.87668,                0.90948,                 0.7522,                0.69136,                0.72736,                0.83714,                0.00307,                0.00307,                0.00307
                    142,                 0.7185,                0.57815,                 0.8492,                0.96387,                0.87668,                0.90948,                 0.7522,                0.69136,                0.72736,                0.83714,              0.0030205,              0.0030205,              0.0030205
                    143,                0.75521,                0.74328,                0.83665,                0.84659,                0.91402,                0.90536,                0.74565,                0.70751,                0.73851,                0.83694,               0.002971,               0.002971,               0.002971
                    144,                0.76123,                 0.7074,                0.83308,                0.84659,                0.91402,                0.90536,                0.74565,                0.70751,                0.73851,                0.83694,              0.0029215,              0.0029215,              0.0029215
                    145,                0.71726,                 0.5942,                0.83087,                0.84754,                 0.9106,                0.90933,                0.77396,                0.62179,                0.68503,                0.82905,               0.002872,               0.002872,               0.002872
                    146,                0.74326,                0.66586,                0.84046,                0.84754,                 0.9106,                0.90933,                0.77396,                0.62179,                0.68503,                0.82905,              0.0028225,              0.0028225,              0.0028225
                    147,                0.86012,                0.60026,                0.85087,                 0.9452,                0.87347,                0.91462,                0.74388,                0.71384,                0.69302,                0.82805,               0.002773,               0.002773,               0.002773
                    148,                0.77724,                0.74181,                0.86128,                 0.9452,                0.87347,                0.91462,                0.74388,                0.71384,                0.69302,                0.82805,              0.0027235,              0.0027235,              0.0027235
                    149,                0.64659,                0.46754,                0.79565,                0.95022,                0.87895,                0.91489,                0.77312,                0.65385,                 0.6775,                0.82955,               0.002674,               0.002674,               0.002674
                    150,                0.79645,                0.65237,                0.85702,                0.95022,                0.87895,                0.91489,                0.77312,                0.65385,                 0.6775,                0.82955,              0.0026245,              0.0026245,              0.0026245
                    151,                0.74793,                0.57909,                0.83551,                0.94615,                0.85338,                0.91315,                0.76487,                0.68425,                0.69841,                0.83348,               0.002575,               0.002575,               0.002575
